player,position,team,salary
Kirk Cousins,QB,WAS,23943600
Trumaine Johnson,CB,LAR,16742400
Von Miller,LB,DEN,16500000
Josh Norman,CB,WAS,16500000
Justin Houston,LB,KAN,16350000
Matt Ryan,QB,ATL,15750000
Carson Palmer,QB,ARI,15500000
Muhammad Wilkerson,DT,NYJ,14750000
Sam Bradford,QB,MIN,14000000
Malik Jackson,DT,JAX,13500000
Gerald McCoy,DT,TAM,13250000
Cam Newton,QB,CAR,13166666
Andy Dalton,QB,CIN,13100000
Drew Brees,QB,NOR,13000000
Dez Bryant,WR,DAL,13000000
Eli Manning,QB,NYG,13000000
Janoris Jenkins,CB,NYG,12900000
Ezekiel Ansah,DE,DET,12734000
Russell Wilson,QB,SEA,12600000
Aaron Rodgers,QB,GNB,12550000
Le'Veon Bell,RB,PIT,12120000
Ben Roethlisberger,QB,PIT,12000000
Olivier Vernon,DE,NYG,11750000
Julio Jones,WR,ATL,11500000
Richard Sherman,DB,SEA,11431000
Trent Williams,T,WAS,11250000
Philip Rivers,QB,LAC,11000000
Aqib Talib,DB,DEN,11000000
Larry Fitzgerald,WR,ARI,11000000
Alex Smith,QB,KAN,10800000
J.J. Watt,DE,HOU,10500000
A.J. Green,WR,CIN,10300000
Clay Matthews,LB,GNB,10100000
Ndamukong Suh,DT,MIA,9985000
Patrick Peterson,CB,ARI,9750000
Calais Campbell,DE,JAX,9000000
Cordy Glenn,T,BUF,9000000
Vontae Davis,DB,IND,9000000
Justin Pugh,OG,NYG,8821000
Joe Thomas,T,CLE,8800000
Damon Harrison,DT,NYG,8750000
Randall Cobb,WR,GNB,8600000
Demaryius Thomas,WR,DEN,8500000
Earl Thomas,DB,SEA,8500000
Alec Ogletree,OLB,LAR,8369000
Joe Staley,T,SFO,8250000
Jordy Nelson,WR,GNB,8250000
Ryan Kerrigan,DE,WAS,8250000
Sheldon Richardson,DT,SEA,8069000
Xavier Rhodes,CB,MIN,8026000
Corey Liuget,DT,LAC,8000000
T.Y. Hilton,WR,IND,8000000
Mike Glennon,QB,CHI,8000000
DeAndre Hopkins,WR,HOU,8000000
Mike Iupati,G,ARI,8000000
Mike Pouncey,OL,MIA,7950000
Jimmy Graham,TE,SEA,7900000
Lane Johnson,OT,PHI,7750000
Tyrod Taylor,QB,BUF,7500000
Andrew Whitworth,T,LAR,7500000
Dontari Poe,DT,ATL,7500000
Maurkice Pouncey,C,PIT,7500000
Chris Harris,CB,DEN,7400000
Jason Witten,TE,DAL,7400000
Luke Kuechly,ILB,CAR,7363324
Geno Atkins,DT,CIN,7300000
Tyrone Crawford,DE,DAL,7250000
Chandler Jones,DE,ARI,7000000
Marvin Jones,WR,DET,7000000
Cameron Jordan,DE,NOR,7000000
Vinny Curry,DE,PHI,7000000
Akiem Hicks,DE,CHI,7000000
Allen Hurns,WR,JAX,7000000
Dominique Rodgers-Cromartie,DB,NYG,6980000
Pernell McPhee,DL,CHI,6950000
Cameron Wake,LB,MIA,6875000
Eric Fisher,OT,KAN,6857977
Star Lotulelei,DT,CAR,6757000
Emmanuel Sanders,WR,DEN,6750000
Kelechi Osemele,T,OAK,6700000
Bennie Logan,DT,KAN,6680000
Vontaze Burfict,LB,CIN,6535529
Kareem Jackson,DB,HOU,6500000
Devin McCourty,DB,NWE,6500000
DeSean Jackson,WR,TAM,6500000
Greg Olsen,TE,CAR,6500000
Jared Veldheer,T,ARI,6500000
Jermey Parnell,T,JAX,6500000
Rodney Hudson,OL,OAK,6500000
Michael Bennett,DE,SEA,6500000
Brandon Graham,DE,PHI,6500000
Nate Solder,T,NWE,6500000
Johnathan Joseph,DB,HOU,6500000
Kyle Williams,DT,BUF,6300000
Kyle Long,OT,CHI,6250000
DeMarco Murray,RB,TEN,6250000
Michael Crabtree,WR,OAK,6250000
Riley Reiff,OT,MIN,6200000
Brian Orakpo,LB,TEN,6200000
Robert Quinn,DE,LAR,6161616
Adam Jones,DB,CIN,6023529
Golden Tate,WR,DET,6000000
Mohamed Sanu,WR,ATL,6000000
Darian Stewart,DB,DEN,6000000
Malcolm Jenkins,DB,PHI,6000000
LeSean McCoy,RB,BUF,6000000
Joe Flacco,QB,BAL,6000000
Kevin Zeitler,G,CLE,6000000
Kawann Short,DT,CAR,6000000
Derrick Morgan,DE,TEN,6000000
Marshal Yanda,T,BAL,6000000
Buster Skrine,DB,NYJ,6000000
Brent Grimes,DB,TAM,6000000
Lavonte David,OLB,TAM,6000000
Donald Penn,T,OAK,5800000
Coby Fleener,TE,NOR,5800000
K.J. Wright,LB,SEA,5800000
Doug Martin,RB,TAM,5764706
Alex Mack,C,ATL,5750000
Tamba Hali,DE,KAN,5750000
Eric Reid,FS,SFO,5676000
Kenny Vaccaro,FS,NOR,5676000
Lamar Miller,RB,HOU,5500000
Derek Wolfe,DT,DEN,5500000
Julius Thomas,TE,MIA,5500000
Brandon Linder,OG,JAX,5500000
Haloti Ngata,DT,DET,5500000
Jerry Hughes,DE,BUF,5400000
Bryan Bulaga,T,GNB,5400000
Carlos Dunlap,DE,CIN,5350000
Gabe Jackson,OG,OAK,5250000
Travis Benjamin,WR,LAC,5250000
Andy Levitre,G,ATL,5250000
Kyle Rudolph,TE,MIN,5150000
Harrison Smith,FS,MIN,5150000
Logan Ryan,CB,TEN,5000000
Sean Smith,DB,OAK,5000000
Melvin Ingram,DE,LAC,5000000
Derek Carr,QB,OAK,5000000
Jay Cutler,QB,MIA,5000000
Tashaun Gipson,DB,JAX,5000000
Mark Barron,LB,LAR,5000000
Brandon Brooks,G,PHI,5000000
Jason Kelce,OL,PHI,5000000
Rishard Matthews,WR,TEN,5000000
Barry Church,DB,JAX,5000000
Mike Mitchell,DB,PIT,5000000
Mitchell Schwartz,T,KAN,4900000
Mychal Kendricks,ILB,PHI,4850000
Rodger Saffold,T,LAR,4847233
Tyler Eifert,TE,CIN,4782000
Jamie Collins,OLB,CLE,4750000
Morgan Burnett,DB,GNB,4750000
Mike Wallace,WR,BAL,4750000
Tyrann Mathieu,CB,ARI,4750000
Jeff Allen,T,HOU,4750000
Josh Sitton,G,CHI,4650000
Cliff Avril,DE,SEA,4500000
Chris Ivory,RB,JAX,4500000
Bruce Irvin,DE,OAK,4500000
Whitney Mercilus,DE,HOU,4500000
Antonio Gates,TE,LAC,4500000
Stephon Gilmore,CB,NWE,4500000
Joe Barksdale,OL,LAC,4500000
Charles Clay,TE,BUF,4500000
James Carpenter,OL,NYJ,4450000
Demar Dotson,T,TAM,4250000
Rob Gronkowski,TE,NWE,4250000
Bobby Massie,T,CHI,4200000
Delanie Walker,TE,TEN,4200000
Terron Armstead,OT,NOR,4200000
Brooks Reed,DL,ATL,4100000
Darius Slay,CB,DET,4100000
Clint Boling,OL,CIN,4050000
Dustin Colquitt,P,KAN,4050000
Bobby Wagner,ILB,SEA,4000000
Shawn Lauvao,G,WAS,4000000
Matt Forte,RB,NYJ,4000000
Eric Weddle,DB,BAL,4000000
Torrey Smith,WR,PHI,4000000
Jeremy Lane,CB,SEA,4000000
George Iloka,FS,CIN,4000000
Marcedes Lewis,TE,JAX,4000000
Marcus Gilbert,OL,PIT,4000000
Nigel Bradham,OLB,PHI,4000000
Terrell Suggs,LB-DE,BAL,4000000
Darren Sproles,RB,PHI,4000000
Robert Ayers,DE,TAM,4000000
Paul Posluszny,LB,JAX,3950000
Malcolm Butler,CB,NWE,3910000
Ron Parker,CB,KAN,3900000
Allen Bailey,DL,KAN,3900000
Brian Robison,DE,MIN,3900000
Christian Kirksey,OLB,CLE,3797000
Jerrell Freeman,LB,CHI,3750000
Adrian Clayborn,DL,ATL,3750000
Jordan Reed,TE,WAS,3750000
Bilal Powell,RB,NYJ,3750000
J.R. Sweezy,G,TAM,3750000
Pierre Garcon,WR,SFO,3675000
Michael Johnson,DE,CIN,3550000
Cole Beasley,WR,DAL,3500000
Tavon Austin,WR,LAR,3500000
Prince Amukamara,CB,CHI,3500000
Frank Gore,RB,IND,3500000
Ben Jones,C,TEN,3500000
Brandon Mebane,DT,LAC,3350000
Greg Robinson,OT,DET,3322377
Casey Hayward,DB,LAC,3250000
Thomas Davis,LB,CAR,3250000
Blake Bortles,QB,JAX,3236565
Graham Gano,K,CAR,3200000
Dan Bailey,K,DAL,3200000
Richie Incognito,G,BUF,3175000
Joel Bitonio,OT,CLE,3164777
Thomas Morstead,P,NOR,3150000
Matt Prater,K,DET,3150000
Mark Ingram,RB,NOR,3100000
Shawn Williams,SS,CIN,3100000
C.J. Fiedorowicz,TE,HOU,3097000
Tahir Whitehead,OLB,DET,3050000
Fletcher Cox,DT,PHI,3000000
Brandon Marshall,WR,NYG,3000000
Derrick Shelby,DE,ATL,3000000
William Gholston,DE,TAM,3000000
Marcus Cooper,CB,CHI,3000000
Kam Chancellor,DB,SEA,3000000
Ryan Kalil,C,CAR,3000000
Johnathan Hankins,DT,IND,3000000
A.J. Bouye,CB,JAX,3000000
Orlando Scandrick,DB,DAL,3000000
T.J. Lang,T,DET,3000000
T.J. Ward,DB,TAM,3000000
Tony Jefferson,FS,BAL,3000000
Jason Peters,T,PHI,3000000
Chris Baker,DT,TAM,3000000
Josh McCown,QB,NYJ,3000000
Brent Celek,TE,PHI,3000000
Robert Woods,WR,LAR,3000000
Markus Wheaton,WR,CHI,3000000
Terrelle Pryor,QB,WAS,3000000
Ricky Wagner,OT,DET,3000000
Russell Okung,T,LAC,3000000
Andrew Sendejo,DB,MIN,2950000
C.J. Anderson,RB,DEN,2900000
Andre Branch,DE,MIA,2900000
Steve McLendon,DT,NYJ,2875000
Brett Kern,P,TEN,2800000
Virgil Green,TE,DEN,2800000
Domata Peko,DT,DEN,2800000
Justin Tucker,K,BAL,2800000
Colt McCoy,QB,WAS,2800000
Kevin Huber,P,CIN,2800000
Reggie Nelson,DB,OAK,2750000
Chris Clark,T,HOU,2750000
Luke Joeckel,OT,SEA,2750000
Kayvon Webster,CB,LAR,2750000
Jonathan Casillas,LB,NYG,2750000
William Hayes,DE,MIA,2750000
Corey Peters,DT,ARI,2750000
Adam Vinatieri,K,IND,2750000
Andrew Norwell,G,CAR,2746000
Taylor Gabriel,WR,ATL,2746000
Adam Thielen,WR,MIN,2746000
Todd Davis,LB,DEN,2746000
Wesley Johnson,OT,NYJ,2746000
Trey Burton,TE,PHI,2746000
Brandon McManus,K,DEN,2746000
Isaiah Crowell,RB,CLE,2746000
Travis Kelce,TE,KAN,2700000
Stephen Gostkowski,K,NWE,2700000
Ramon Foster,T,PIT,2675000
Dante Fowler,OLB,JAX,2570478
Dre Kirkpatrick,CB,CIN,2550000
Drew Stanton,QB,ARI,2550000
Jared Cook,TE,OAK,2500000
Patrick Chung,DB,NWE,2500000
Ronald Leary,G,DEN,2500000
Donald Stephenson,T,DEN,2500000
Jamar Taylor,CB,CLE,2500000
Dwayne Allen,TE,NWE,2500000
Abry Jones,DT,JAX,2500000
Morris Claiborne,CB,NYJ,2500000
Chris Hogan,WR,NWE,2500000
Cordarrelle Patterson,WR,OAK,2500000
Quintin Demps,DB,CHI,2500000
Jabaal Sheard,DL,IND,2500000
Jarius Wright,WR,MIN,2500000
Brandon Marshall,OLB,DEN,2500000
Dwayne Harris,WR,NYG,2475000
Zane Beadles,T,SFO,2450000
Emmanuel Lamur,LB,MIN,2450000
Johnny Hekker,P,LAR,2444444
Ryan Succop,K,TEN,2400000
Marquette King,P,OAK,2400000
Da'Norris Searcy,DB,TEN,2400000
Terence Newman,DB,MIN,2400000
Micah Hyde,CB,BUF,2300000
Tom Johnson,DT,MIN,2300000
Sam Koch,P,BAL,2300000
Brian Cushing,LB,HOU,2264706
Elvis Dumervil,DE,SFO,2250000
Arthur Moats,LB,PIT,2250000
James Hanna,TE,DAL,2250000
Stacy McGee,DT,WAS,2250000
Chad Henne,QB,JAX,2250000
Terrell McClain,DL,WAS,2250000
Lane Taylor,G,GNB,2250000
Vincent Rey,LB,CIN,2250000
Sam Martin,P,DET,2225000
Matthew Bosher,P,ATL,2200000
Wesley Woodyard,LB,TEN,2200000
Jermaine Kearse,WR,NYJ,2200000
Anthony Barr,OLB,MIN,2157750
Shane Vereen,RB,NYG,2150000
J.J. Wilcox,S,PIT,2125000
Vance McDonald,TE,PIT,2100000
Mike Daniels,DT,GNB,2100000
Brice McCain,DB,TEN,2000000
Kyle Juszczyk,FB,SFO,2000000
Vernon Davis,TE,WAS,2000000
Matt Slauson,G,LAC,2000000
Robert Alford,CB,ATL,2000000
Jermaine Gresham,TE,ARI,2000000
Johnathan Cyprien,SS,TEN,2000000
Antoine Bethea,DB,ARI,2000000
Sylvester Williams,DT,TEN,2000000
Dion Sims,TE,CHI,2000000
D.J. Swearinger,FS,WAS,2000000
Brynden Trawick,S,TEN,2000000
Danny Trevathan,OLB,CHI,2000000
William Gay,DB,PIT,2000000
J.C. Tretter,OG,CLE,2000000
Paul Worrilow,LB,DET,2000000
Phil Dawson,K,ARI,2000000
Ted Ginn,WR,NOR,2000000
Brandon Carr,DB,BAL,2000000
Ben Ijalana,OL,NYJ,2000000
Connor Barwin,DE,LAR,2000000
Lorenzo Alexander,DT,BUF,2000000
Vince Williams,ILB,PIT,2000000
Josh Robinson,CB,TAM,2000000
Clinton McDonald,DT,TAM,2000000
Justin Bethel,CB,ARI,2000000
D.J. Hayden,CB,DET,2000000
Taylor Lewan,OT,TEN,1986136
Kenny Stills,WR,MIA,1975000
Marcus Sherels,DB,MIN,1950000
Marquise Goodwin,WR,SFO,1950000
Ed Dickson,TE,CAR,1950000
Brad Nortman,P,JAX,1900000
Landry Jones,QB,PIT,1900000
Kurt Coleman,LB,CAR,1900000
Everson Griffen,DE,MIN,1900000
Odell Beckham,WR,NYG,1839027
Aaron Donald,DT,LAR,1802250
Rex Burkhead,RB,NWE,1800000
Avery Williamson,ILB,TEN,1797000
Kevin Pamphile,OT,TAM,1797000
Shamar Stephen,DT,MIN,1797000
Aaron Colvin,CB,JAX,1797000
Damien Williams,RB,MIA,1797000
Chris Hubbard,G,PIT,1797000
Michael Thomas,S,MIA,1797000
DaQuan Jones,DT,TEN,1797000
Russell Bodine,OG,CIN,1797000
Anthony Hitchens,OLB,DAL,1797000
Justin Ellis,DT,OAK,1797000
Ryan Jensen,T,BAL,1797000
Cameron Fleming,OT,NWE,1797000
Terrance West,RB,BAL,1797000
Charles Leno,OG,CHI,1797000
Bashaud Breeland,CB,WAS,1797000
Aaron Lynch,DE,SFO,1797000
T.J. Carrie,CB,OAK,1797000
Albert Wilson,WR,KAN,1797000
Denico Autry,DE,OAK,1797000
Andre Hal,CB,HOU,1797000
Corey Linsley,C,GNB,1797000
Nevin Lawson,CB,DET,1797000
Telvin Smith,ILB,JAX,1797000
Maurice Alexander,SS,LAR,1797000
Michael Schofield,OT,LAC,1797000
Devon Kennard,OLB,NYG,1797000
William Compton,LB,WAS,1797000
Korey Toomer,ILB,LAC,1797000
E.J. Gaines,CB,BUF,1797000
Donte Moncrief,WR,IND,1797000
John Brown,WR,ARI,1797000
Kerry Wynn,DE,NYG,1797000
Zach Fulton,OG,KAN,1788500
Richard Rodgers,TE,GNB,1787000
Spencer Long,OG,WAS,1787000
Travis Swanson,C,DET,1772000
Preston Brown,ILB,BUF,1762000
Joe Hawley,G,TAM,1750000
Allen Barbre,T,DEN,1750000
Niles Paul,WR,WAS,1750000
Matt Moore,QB,MIA,1750000
Matt Cassel,QB,TEN,1750000
Scott Tolzien,QB,IND,1750000
Ryan Fitzpatrick,QB,TAM,1750000
Alan Branch,DT,NWE,1750000
Ereck Flowers,OT,NYG,1743338
Kyle Fuller,CB,CHI,1740955
Jared Goff,QB,LAR,1719894
Ryan Shazier,OLB,PIT,1716438
Larry Warford,OG,NOR,1700000
A.J. Klein,ILB,NOR,1700000
Ryan Hewitt,FB,CIN,1700000
Max Unger,C,NOR,1700000
Zach Strief,G,NOR,1700000
Todd Gurley,RB,LAR,1691653
Carson Wentz,QB,PHI,1662561
Earl Mitchell,DT,SFO,1650000
Josh Hill,TE,NOR,1650000
Britton Colquitt,P,CLE,1650000
Zack Martin,OT,DAL,1642882
C.J. Mosley,ILB,BAL,1618365
Trae Waynes,CB,MIN,1611761
Giovani Bernard,RB,CIN,1600000
Steven Hauschka,K,BUF,1600000
Eric Ebron,TE,DET,1590337
Calvin Pryor,FS,JAX,1587716
Ezekiel Elliott,RB,DAL,1584379
Ja'Wuan James,OT,MIA,1569327
Derek Anderson,QB,CAR,1550000
Zach Brown,OLB,WAS,1550000
Garrett Celek,TE,SFO,1550000
Josh Martin,LB,NYJ,1550000
Desmond Trufant,CB,ATL,1526000
Austin Howard,T,BAL,1525000
Jalen Ramsey,FS,JAX,1511409
Lerentee McCray,LB,JAX,1500000
Jahleel Addae,S,LAC,1500000
Alejandro Villanueva,OL,PIT,1500000
Chris Hairston,OL,LAC,1500000
Duron Harmon,FS,NWE,1500000
Ryan Groy,OG,BUF,1500000
Robbie Gould,K,SFO,1500000
Jamize Olawale,FB,OAK,1500000
Benson Mayowa,DE,DAL,1500000
Menelik Watson,OT,DEN,1500000
Barkevious Mingo,OLB,IND,1500000
John Simon,DE,IND,1500000
Anthony Fasano,TE,MIA,1500000
Chris Conte,DB,TAM,1500000
Bryan Anger,P,TAM,1500000
Keenan Robinson,OLB,NYG,1500000
Davon House,DB,GNB,1500000
Shane Lechler,P,HOU,1500000
Mike Gillislee,RB,NWE,1500000
Kelvin Beachum,T,NYJ,1500000
D.J. Fluker,OT,NYG,1500000
Levine Toilolo,TE,ATL,1500000
Zach Miller,TE,CHI,1500000
Jordan Poyer,CB,BUF,1500000
Jason McCourty,DB,CLE,1500000
Danny Shelton,DT,CLE,1498970
Jermon Bushrod,T,MIA,1475000
Deone Bucannon,SS,ARI,1471255
Jeff Heath,S,DAL,1471000
Andrus Peat,OT,NOR,1470773
Robert Golden,S,PIT,1465000
Matt Bryant,K,ATL,1450000
DeVante Parker,WR,MIA,1423776
Melvin Gordon,RB,LAC,1404980
Josh Kline,OL,TEN,1400000
Garry Gilliam,T,SFO,1400000
Jurrell Casey,DL,TEN,1400000
Alex Boone,T,ARI,1400000
Nate Allen,DB,MIA,1400000
Mike Remmers,T,MIN,1400000
Ronnie Stanley,OT,BAL,1381106
Greg Zuerlein,K,LAR,1375000
Eddie Lacy,RB,SEA,1365000
Teddy Bridgewater,QB,MIN,1354023
Marshawn Lynch,RB,OAK,1350000
Eric Decker,WR,TEN,1350000
Erik Walden,DE,TEN,1350000
Nathan Stupar,OLB,NOR,1350000
Marcus Cannon,OL,NWE,1350000
Jordan Mills,OT,BUF,1350000
Michael Hoomanawanui,TE,NOR,1350000
Kevin Johnson,CB,HOU,1348583
Arik Armstead,DE,SFO,1329785
Marcus Peters,CB,KAN,1306287
Patrick DiMarco,FB,BUF,1300000
Andre Roberts,WR,ATL,1300000
Johnson Bademosi,DB,NWE,1300000
T.J. Johnson,C,CIN,1300000
Nick Perry,DE,GNB,1300000
Sean Lee,LB,DAL,1300000
Devonta Freeman,RB,ATL,1297000
Morgan Moses,OT,WAS,1297000
Travis Frederick,C,DAL,1296000
Cameron Erving,OT,KAN,1292188
Nelson Agholor,WR,PHI,1287489
Cedric Ogbuehi,OT,CIN,1282789
Ethan Westbrooks,DE,LAR,1282175
DeForest Buckner,DE,SFO,1276863
Tyron Smith,OT,DAL,1275000
Senio Kelemete,T,NOR,1275000
Bud Dupree,DE,PIT,1273390
Shane Ray,DE,DEN,1263991
Tyler Bray,QB,KAN,1252500
Ben Watson,TE,BAL,1250000
Chris Maragos,DB,PHI,1250000
Kyle Wilber,OLB,DAL,1250000
Andre Smith,T,CIN,1250000
Michael Brockers,DT,LAR,1250000
Daren Bates,LB,TEN,1250000
Jack Crawford,DE,ATL,1250000
Brandon LaFell,WR,CIN,1250000
Danny Amendola,WR,NWE,1250000
Al Woods,DT,IND,1250000
Tyson Alualu,DT,PIT,1250000
Jason Pierre-Paul,DE,NYG,1250000
Donnie Jones,P,PHI,1250000
Aldrick Robinson,WR,SFO,1250000
Kendall Wright,WR,CHI,1250000
Joe Haden,DB,PIT,1250000
Karl Klug,DL,TEN,1250000
Akeem Spence,DT,DET,1250000
Kemal Ishmael,DB,ATL,1250000
Dont'a Hightower,ILB,NWE,1250000
D.J. Humphries,OT,ARI,1245192
Cornelius Washington,DE,DET,1237500
Shaq Thompson,OLB,CAR,1235793
Breshad Perriman,WR,BAL,1226392
Mason Foster,LB,WAS,1225000
Byron Jones,CB,DAL,1216995
Laken Tomlinson,OG,SFO,1212296
Ryan Allen,P,NWE,1200000
Dion Lewis,RB,NWE,1200000
Marcus Gilchrist,DB,HOU,1200000
Alfred Morris,RB,DAL,1200000
Darrius Heyward-Bey,WR,PIT,1200000
Harry Douglas,WR,TEN,1200000
Xavier Su'a-Filo,OG,HOU,1177036
Phillip Dorsett,WR,NWE,1174583
Jack Conklin,OT,TEN,1172621
Demarcus Lawrence,DE,DAL,1170907
Leonard Floyd,OLB,CHI,1167403
Damarious Randall,FS,GNB,1154612
Jahri Evans,T,GNB,1150000
Linval Joseph,DT,MIN,1150000
Eric Wood,C,BUF,1150000
Eli Apple,CB,NYG,1138742
Malcom Brown,DT,NWE,1127112
Marqise Lee,WR,JAX,1125549
Brad Wing,P,NYG,1125000
Cody Davis,S,LAR,1111111
Lamarcus Joyner,CB,LAR,1105934
Craig Robertson,LB,NOR,1105000
DeAngelo Hall,DB,WAS,1100000
Margus Hunt,DE,IND,1100000
Jacquizz Rodgers,RB,TAM,1100000
Tress Way,P,WAS,1100000
Anthony Sherman,RB,KAN,1100000
L.P. Ladouceur,DE,DAL,1100000
Tank Carradine,DE,SFO,1100000
David DeCastro,G,PIT,1100000
Demetrius Harris,TE,KAN,1100000
Russell Shepard,WR,CAR,1100000
Jonathan Stewart,RB,CAR,1100000
Jordan Matthews,WR,BUF,1094900
Vernon Hargreaves,CB,TAM,1094439
Weston Richburg,C,NYG,1085093
Eddie Pleasant,SS,HOU,1078000
Theo Riddick,RB,DET,1075000
Kiko Alonso,ILB,MIA,1075000
Josh Gordon,WR,CLE,1068406
Paul Richardson,WR,SEA,1062659
DeShawn Shead,DB,SEA,1050000
Marshall Newhouse,"G,T",OAK,1050000
Sheldon Rankins,DT,NOR,1031893
Bradley Roby,CB,DEN,1018072
Timmy Jernigan,DT,PHI,1017284
Laremy Tunsil,OT,MIA,1016257
Stephone Anthony,ILB,MIA,1004015
Breno Giacomini,G,HOU,1000000
Christian Jones,ILB,CHI,1000000
Alshon Jeffery,WR,PHI,1000000
Don Muhlbach,C,DET,1000000
Lee Smith,TE,OAK,1000000
Kamar Aiken,WR,IND,1000000
Mason Crosby,K,GNB,1000000
Danny Woodhead,RB,BAL,1000000
Stephon Tuitt,DT,PIT,1000000
Chris Long,DE,PHI,1000000
Jon Ryan,P,SEA,1000000
Tramon Williams,DB,ARI,1000000
Derrick Johnson,LB,KAN,1000000
Zak DeOssie,LB,NYG,1000000
Tom Brady,QB,NWE,1000000
Stephen Paea,DT,DAL,1000000
Tyvon Branch,DB,ARI,1000000
Julius Peppers,DE,CAR,1000000
Anthony Castonzo,OL,IND,1000000
Matthew Stafford,QB,DET,1000000
Darius Butler,DB,IND,1000000
Jack Doyle,TE,IND,1000000
Joe Berger,T,MIN,1000000
Andy Lee,P,ARI,1000000
Jonathan Cooper,OG,DAL,1000000
Ryan Schraeder,T,ATL,1000000
Mitch Unrein,DT,CHI,1000000
Jon Condo,LB,OAK,1000000
Nick Folk,K,TAM,1000000
Brandon Fusco,OL,SFO,1000000
Zach Kerr,NT,DEN,1000000
Nolan Carroll,DB,DAL,1000000
John Kuhn,FB,NOR,1000000
Ahmad Brooks,LB,GNB,1000000
Keenan Allen,WR,LAC,1000000
Charles Johnson,DE,CAR,1000000
Brock Coyle,LB,SFO,1000000
Lawrence Timmons,LB,MIA,1000000
Dekoda Watson,LB,SFO,1000000
Brian Winters,OG,NYJ,1000000
Matt Kalil,OT,CAR,1000000
Frostee Rucker,DE,ARI,1000000
Nick Foles,QB,PHI,1000000
Corey Graham,DB,PHI,1000000
Ryan Mallett,QB,BAL,1000000
Sherrick McManis,DB,CHI,1000000
Karlos Dansby,LB,ARI,1000000
Ross Cockrell,CB,NYG,1000000
Pat Sims,DT,CIN,1000000
Willie Young,DE,CHI,1000000
La'el Collins,OT,DAL,1000000
Daniel Kilgore,OL,SFO,1000000
Mike Adams,DB,CAR,1000000
Luke Willson,TE,SEA,1000000
Byron Bell,T,DAL,1000000
Eric Weems,WR,TEN,1000000
Tom Compton,T,CHI,1000000
David Harris,LB,NWE,1000000
Mario Addison,DE,CAR,1000000
Beau Brinkley,"LS,TE",TEN,1000000
Jeremy Maclin,WR,BAL,1000000
Lance Dunbar,RB,LAR,1000000
Kellen Clemens,QB,LAC,1000000
Terrance Williams,WR,DAL,1000000
Justin Durant,LB,DAL,1000000
Jeremiah Attaochu,OLB,LAC,993150
Landon Collins,SS,NYG,991415
Kyle Van Noy,OLB,NWE,990741
Karl Joseph,SS,OAK,990196
Darqueze Dennard,CB,CIN,988032
Donovan Smith,OT,TAM,986715
Mario Edwards,DE,OAK,982015
Corey Coleman,WR,CLE,979773
Ted Larsen,C,MIA,975000
Don Carey,DB,DET,975000
Kyle Nelson,TE,SFO,975000
Rhett Ellison,FB,NYG,975000
T.J. Yeldon,RB,JAX,972617
Troy Niklas,TE,ARI,968632
Preston Smith,DE,WAS,960395
Dee Ford,DE,KAN,957704
Davante Adams,WR,GNB,956373
Eddie Goldman,DT,CHI,951938
Derek Carrier,WR,LAR,950000
Reshad Jones,DB,MIA,950000
Jayrone Elliott,LB,DAL,950000
Case Keenum,QB,MIN,950000
Taylor Decker,OT,DET,948499
T.J. McDonald,FS,MIA,944445
Keanu Neal,FS,ATL,938075
Austin Seferian-Jenkins,TE,NYJ,936690
Alex Okafor,DE,NOR,935000
Cody Latimer,WR,DEN,925725
Ryan Kelly,C,IND,925045
John Jerry,G,NYG,925000
Benardrick McKinney,ILB,HOU,920921
Shaq Lawson,DE,BUF,917226
Darron Lee,OLB,NYJ,914620
Hau'oli Kikaha,OLB,NOR,913755
Will Fuller,WR,HOU,912014
Antonio Brown,WR,PIT,910000
Jack Mewhort,OT,IND,907337
Josh Doctson,WR,WAS,906802
Eric Kendricks,ILB,MIN,903720
Laquon Treadwell,WR,MIN,901590
Sam Young,T,MIA,900000
Connor Barth,K,CHI,900000
Jon Weeks,C,HOU,900000
Frank Zombo,LB,KAN,900000
Alterraun Verner,DB,MIA,900000
Garrison Sanborn,C,TAM,900000
Latavius Murray,RB,MIN,900000
Nick Sundberg,C,WAS,900000
Brett Goode,LB,GNB,900000
Chandler Catanzaro,K,NYJ,900000
J.J. Jansen,C,CAR,900000
Jamaal Charles,RB,DEN,900000
Matt Slater,WR,NWE,900000
Evander Hood,DT,WAS,900000
Brandon Tate,WR,BUF,900000
Roy Miller,DT,KAN,900000
Lawrence Guy,DT,NWE,900000
John Sullivan,C,LAR,900000
Glover Quin,DB,DET,900000
Colt Anderson,DB,BUF,900000
Blaine Gabbert,QB,ARI,900000
Mike Windt,C,LAC,900000
Caleb Sturgis,K,PHI,900000
John Denney,DE-C,MIA,900000
Chase Daniel,QB,NOR,900000
Darren McFadden,RB,DAL,900000
Lardarius Webb,DB,BAL,900000
Eric Berry,DB,KAN,900000
Rey Maualuga,LB,MIA,900000
Mike Tolbert,RB,BUF,900000
Captain Munnerlyn,DB,CAR,900000
Ramon Humber,LB,BUF,900000
Kendall Langford,DE,HOU,900000
Tavon Wilson,FS,DET,900000
Joe Webb,WR,BUF,900000
Anthony Levine,S,BAL,900000
Morgan Cox,C,BAL,900000
LeGarrette Blount,RB,PHI,900000
Demario Davis,OLB,NYJ,900000
Phillip Supernaw,TE,TEN,900000
Tramaine Brock,DB,MIN,900000
